compound,density,molar_mass,cid,smiles
Fly Ash,,,,C
Alkaline Silica Sol,,,,O=[Si]=O
Xylene,0.88003,106.078250319,7237.0,CC1=CC=CC=C1C
ODES-3,,881.5,16116811.0,C(CN)C[Si]12O[Si]3(O[Si]4(O[Si](O1)(O[Si]5(O[Si](O2)(O[Si](O3)(O[Si](O4)(O5)CCCN)CCCN)CCCN)CCCN)CCCN)CCCN)CCCN
TMCS,0.854,108.0162045,6397.0,C[Si](C)(C)Cl
APTES,0.94,221.14472013,13521.0,CCO[Si](CCCN)(OCC)OCC
Hexanediol Diacrylate,,226.12050905,17787778.0,CCCCCC(OC(=O)C=C)OC(=O)C=C
HMDSO,0.7638,162.08961826,24764.0,C[Si](C)(C)O[Si](C)(C)C
Nitrogen Atmosphere,,,,N#N
N-butanol-Ethylenediamine azeotrope,,,,
MPTMS,,196.34,20473.0,CO[Si](CCCS)(OC)OC
Aluminum Isoproxide,,204.24,11143.0,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Al+3]
ATMS,,162.26,75698.0,CO[Si](CC=C)(OC)OC
Chloroform-Acetone Azeotrope,,177.45,15930782.0,
PDMS,0.94,236.10840961,24705.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Cyclohexanol-Phenol Azeotrope,,194.27,18624864.0,
BC,,330.125594432,16740968.0,C1[C@@H]([C@@H]([C@H](C2=C1C3=C(C=C2)C4=CC=CC=C4C5=CC=CC=C53)O)O)O
EtOH,0.78982,46.041864811,702.0,CCO
HCl,1.3445,35.9766777,313.0,Cl
DMDEOS,,148.28,62322.0,CCO[Si](C)(C)OCC
TEOS,0.9315,208.11308565,6517.0,CCO[Si](OCC)(OCC)OCC
Ethoxy-polysiloxane,,512.9,155288862.0,
Carbon Fiber,0.46367,16.0313001276,297.0,
Rice Husk Ash,,,,C
MTBE,0.73877,88.088815002,15413.0,CC(C)(C)OC
TIP,,228.11,76524.0,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4]
EtOH-H2O Azeotrope,,64.08,19096565.0,CCO.O
CTAB,,363.25006,5974.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
HMDZ,0.7741,161.10560268,13838.0,C[Si](C)(C)N[Si](C)(C)C
TMMS,,104.22,15771.0,CO[Si](C)(C)C
Water-Ethylenediamine Azeotrope,,78.12,3301.0,O.C(CN)N
TBC,,166.22,7381.0,CC(C)(C)C1=CC(=C(C=C1)O)O
Heptane,0.68082,100.12520051,8900.0,CCCCCCC
Urea,1.3315,60.032362755,1176.0,C(=O)(N)N
VTMS,,148.23,76004.0,CO[Si](C=C)(OC)OC
Water Glass,2.10467,121.94120896,23266.0,[O-][Si](=O)[O-].[Na+].[Na+]
Silica Fiber,2.2,60.084,24261.0,O=[Si]=O
